PedidoID,DataPedido,ClienteID,NomeCliente,Cidade,UF,Latitude,Longitude,Produto,CategoriaProduto,Quantidade,ValorUnitario,Transportadora,DataEnvio,DataEntregaPrevista,DataEntregaReal,StatusEntrega,CustoFrete,DistanciaKM,AvaliacaoCliente,CodigoRastreio,PesoKG,TipoTransporte,PrioridadeEntrega,StatusPagamento,DataPagamento
1001,2025-01-17,C022,PAULO HENRIQUE,GOIÂNIA,GO,-16.6869,-49.2648,PANELA ELÉTRICA,ELETRODOMÉSTICOS,1,299.9,AMAZÔNIA CARGO,2025-01-19,2025-01-25,2025-01-25,Entregue com atraso,68.67,2516,5,J3WTGTP45ORL,27.57,Aéreo,Normal,Pago,2025-01-19
1002,2025-02-19,C581,MARCOS SILVA,PORTO ALEGRE,RS,-30.0346,-51.2177,CAMISETA POLO,VESTUÁRIO,3,79.9,CENTRO-OESTE CARGO,2025-02-21,2025-02-23,2025-02-24,Cancelado,27.38,2274,2,MY59JAO3K1XV,7.78,Marítimo,Econômica,Estornado,
1003,2025-01-24,C829,PAULO HENRIQUE,MACAPÁ,AP,0.0349,-51.0694,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,ENTREGA CERTA,2025-01-27,2025-02-01,2025-02-01,Entregue no prazo,72.97,2399,3,GOSWBNDGG8J0,11.32,Rodoviário,Normal,Pago,2025-01-24
1004,2025-02-12,C743,PEDRO OLIVEIRA,PORTO ALEGRE,RS,-30.0346,-51.2177,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,NORDESTE RÁPIDO,2025-02-13,2025-02-17,2025-02-19,Entregue no prazo,51.92,2848,4,85A0ZNRXVH7I,10.56,Aéreo,Econômica,Estornado,
1005,2025-02-22,C249,PEDRO OLIVEIRA,PORTO ALEGRE,RS,-30.0346,-51.2177,MOCHILA ESCOLAR,ACESSÓRIOS,1,149.9,ENTREGA CERTA,2025-02-25,2025-03-04,2025-03-06,Em trânsito,18.11,2617,2,J10ZFDEHRCBG,12.32,Rodoviário,Econômica,Pendente,
1006,2025-01-31,C983,RENATA LIMA,VITÓRIA DA CONQUISTA,BA,-14.8619,-40.8442,JAQUETA COURO,VESTUÁRIO,2,599.9,RÁPIDO EXPRESS,2025-02-01,2025-02-04,2025-02-05,Entregue com atraso,21.26,2068,5,KT8LLNE166LQ,12.19,Marítimo,Normal,Estornado,
1007,2025-01-28,C406,PAULO HENRIQUE,BOA VISTA,RR,2.8197,-60.6733,MICRO-ONDAS 25L,ELETRODOMÉSTICOS,1,499.9,BRASIL LOGÍSTICA,2025-01-30,2025-02-03,2025-02-03,Entregue no prazo,69.17,1633,5,KCHP80H4ESJB,9.7,Marítimo,Econômica,Pendente,
1008,2025-02-18,C356,BRUNO LIMA,MANAUS,AM,-3.119,-60.0217,CAMISETA POLO,VESTUÁRIO,2,79.9,NORTE EXPRESS,2025-02-20,2025-02-26,2025-02-26,Entregue no prazo,16.5,1320,2,7ZKQQISBSWF0,22.2,Marítimo,Normal,Pago,2025-02-21
1009,2025-02-04,C371,MARCOS SILVA,RECIFE,PE,-8.0476,-34.877,MOCHILA ESCOLAR,ACESSÓRIOS,1,149.9,AMAZÔNIA CARGO,2025-02-07,2025-02-14,2025-02-14,Entregue no prazo,39.14,638,3,WMV8HJ3VJB8L,2.28,Aéreo,Econômica,Estornado,
1010,2025-02-12,C460,CLÁUDIA TEIXEIRA,MACEIÓ,AL,-9.6498,-35.7089,"SMART TV 50""",ELETRÔNICOS,2,2599.0,RÁPIDO EXPRESS,2025-02-13,2025-02-17,2025-02-18,Entregue com atraso,56.77,3432,4,CN6070VG3KCN,19.7,Rodoviário,Econômica,Pago,2025-02-17
1011,2025-01-17,C338,CARLA MENDES,CAMPINAS,SP,-22.9056,-47.0608,PANELA ELÉTRICA,ELETRODOMÉSTICOS,3,299.9,RÁPIDO EXPRESS,2025-01-20,2025-01-26,2025-01-26,Cancelado,72.61,2995,4,4GT3U1CKUMKE,5.03,Marítimo,Urgente,Pago,2025-01-21
1012,2025-02-28,C074,FERNANDA ROCHA,JOÃO PESSOA,PB,-7.115,-34.8641,JAQUETA COURO,VESTUÁRIO,3,599.9,CENTRO-OESTE CARGO,2025-03-01,2025-03-04,2025-03-04,Em trânsito,62.14,2130,5,DFQVOCD78LH7,21.42,Rodoviário,Urgente,Estornado,
